Run,Score
1,failed
2,failed
3,failed
4,failed
5,failed
6,failed
7,failed
8,failed
9,failed
10,failed
11,failed
12,failed
13,failed
14,failed
15,failed
16,failed
17,failed
18,failed
19,failed
20,failed
21,failed
22,failed
23,failed
24,failed
25,failed
26,failed
27,failed
28,failed
29,failed
30,failed
31,failed
32,failed
33,failed
34,failed
35,failed
36,failed
37,failed
38,failed
39,failed
40,failed
41,failed
42,failed
43,failed
44,failed
45,failed
46,failed
47,failed
48,failed
49,failed
50,failed
51,failed
52,failed
53,failed
54,failed
55,failed
56,failed
57,failed
58,failed
59,failed
60,failed
61,failed
62,failed
63,failed
64,failed
65,failed
66,failed
67,failed
68,failed
69,failed
70,failed
71,failed
72,failed
73,failed
74,failed
75,failed
76,failed
77,failed
78,failed
79,failed
80,failed
81,failed
82,failed
83,failed
84,failed
85,failed
86,failed
87,failed
88,failed
89,failed
90,failed
91,failed
92,failed
93,failed
94,failed
95,failed
96,failed
97,failed
98,failed
99,failed
100,failed
